,Name,Nation,Team,Position,Age,Matches Played,Starts,Minutes,Goals,Assists,Yellow Cards,Red Cards,Expected Goals (xG),Expected Assist Goals (xAG),Progressive Carries (PrgC),Progressive Passes (PrgP),Progressive Passes Received (PrgR),Goals per 90,Assists per 90,xG per 90,xAG per 90,Goals Against per 90 (GA90),Save Percentage (Save%),Clean Sheets Percentage (CS%),Penalty Kicks Save Percentage,Shots on Target Percentage (SoT%),Shots on Target per 90 (SoT/90),Goals per Shot (G/Sh),Average Shot Distance (Dist),Passes Completed (Cmp),Pass Completion Percentage (Cmp%),Total Passing Distance (TotDist),Short Pass Completion Percentage,Medium Pass Completion Percentage,Long Pass Completion Percentage,Key Passes (KP),Passes into Final Third (1/3),Passes into Penalty Area (PPA),Crosses into Penalty Area (CrsPA),Shot-Creating Actions (SCA),SCA per 90,Goal-Creating Actions (GCA),GCA per 90,Tackles (Tkl),Tackles Won (TklW),Challenges (Tkl),Challenges Lost (TklD),Blocks,Blocked Shots (Sh),Blocked Passes (Pass),Interceptions (Int),Touches,Touches in Defensive Penalty Area,Touches in Defensive Third,Touches in Middle Third,Touches in Attacking Third,Touches in Attacking Penalty Area,Take-Ons (Att),Take-On Success Percentage (Succ%),Take-On Tackled Percentage (Tkl%),Carries,Progressive Carrying Distance (TotDist),Carries into Final Third (1/3),Carries into Penalty Area (CPA),Miscontrols (Mis),Dispossessed (Dis),Passes Received (Rec),Fouls Committed (Fls),Fouls Drawn (Fld),Offsides (Off),Crosses (Crs),Ball Recoveries (Recov),Aerials Won (Won),Aerials Lost (Lost),Aerials Won Percentage (Won%),market_value,rating
197,Max Kilman,ENG,West Ham,DF,27,35,35,3078.0,0,1,4,0,1.4,1.2,29,107,6,0.0,0.03,0.04,0.03,N/a,N/a,N/a,N/a,16.7,0.06,0.0,8.8,1548,86.6,29962,91.8,92.7,58.0,16,102,4,0,29,0.85,3,0.09,33,20,25,4,55,37,18,38,2176,434,1208,879,105,31,20,70.0,10.0,1151,2956,13,2,16,3,1441,21,13,2,3,138,105,50,67.7,€36.7M,72.3/72.3
198,Maxence Lacroix,FRA,Crystal Palace,DF,25,32,32,2846.0,1,1,5,0,3.1,0.8,8,61,7,0.03,0.03,0.1,0.02,N/a,N/a,N/a,N/a,17.2,0.16,0.03,11.1,1125,81.5,23175,85.2,90.6,54.3,6,67,3,1,26,0.82,4,0.13,67,40,47,15,43,18,25,52,1805,331,1095,637,80,42,14,57.1,28.6,962,2079,4,0,21,4,1062,33,18,1,6,123,57,46,55.3,€27.7M,76.4/80.0
199,Micky van de Ven,NED,Tottenham,DF,24,12,11,950.0,0,2,4,0,0.6,1.2,8,51,1,0.0,0.19,0.05,0.11,N/a,N/a,N/a,N/a,33.3,0.19,0.0,11.1,706,91.0,13313,91.7,96.5,62.5,2,50,1,0,11,1.04,2,0.19,10,6,14,6,9,6,3,10,862,101,442,393,36,9,8,50.0,50.0,599,1388,10,1,5,4,629,10,8,0,0,61,19,18,51.4,€61.8M,71.1/79.1
200,Mikel Merino,ESP,Arsenal,"MF,FW",28,26,15,1418.0,6,2,2,0,4.4,1.9,9,62,88,0.38,0.13,0.28,0.12,N/a,N/a,N/a,N/a,37.5,0.76,0.19,10.5,422,78.0,5811,86.9,78.7,53.3,15,34,24,4,39,2.48,4,0.25,38,22,29,14,18,5,13,14,724,35,130,303,300,72,19,42.1,36.8,357,645,12,4,22,22,470,36,20,7,12,78,57,52,52.3,€40.5M,74.6/74.6
201,Mikkel Damsgaard,DEN,Brentford,"MF,FW",24,35,31,2658.0,2,10,2,0,2.6,7.8,64,213,121,0.07,0.34,0.09,0.26,N/a,N/a,N/a,N/a,21.9,0.24,0.06,17.5,1011,72.7,17333,85.3,73.3,53.2,59,153,67,17,114,3.86,21,0.71,78,43,72,44,36,2,34,26,1713,34,310,785,640,72,93,52.7,35.5,972,2753,42,9,54,44,1131,18,27,6,130,159,12,25,32.4,€28.6M,73.4/78.0
202,Mohamed Salah,EGY,Liverpool,FW,32,35,35,3101.0,28,18,1,0,24.0,13.2,143,133,440,0.81,0.52,0.7,0.38,N/a,N/a,N/a,N/a,42.0,1.36,0.17,14.7,833,71.2,12448,83.6,70.3,59.6,82,49,86,14,157,4.56,26,0.75,20,11,16,9,11,0,11,7,1568,10,90,474,1023,327,125,44.0,52.0,1079,3375,54,115,109,63,1313,22,36,16,72,95,9,12,42.9,€38.5M,86.6/86.6
203,Mohammed Kudus,GHA,West Ham,"FW,MF",24,29,29,2421.0,4,2,2,1,6.6,2.5,93,76,201,0.15,0.07,0.24,0.09,N/a,N/a,N/a,N/a,29.4,0.74,0.06,15.7,659,83.5,10770,90.2,89.1,67.9,29,44,27,13,101,3.76,7,0.26,35,21,27,17,24,1,23,4,1176,12,159,486,572,117,194,44.8,45.9,770,2401,56,39,70,89,916,36,60,18,74,128,10,38,20.8,€61.7M,73.1/79.0
204,Moisés Caicedo,ECU,Chelsea,"MF,DF",23,35,35,3081.0,1,2,10,0,0.8,3.0,38,197,33,0.03,0.06,0.02,0.09,N/a,N/a,N/a,N/a,16.7,0.09,0.06,25.1,1827,89.7,31575,92.2,92.4,78.1,29,219,31,2,94,2.75,9,0.26,103,64,80,30,45,10,35,49,2394,89,521,1469,430,15,57,42.1,35.1,1323,3008,29,2,36,24,1666,62,55,0,9,203,33,15,68.8,€80.7M,81.1/91.9
205,Morgan Gibbs-White,ENG,Nott'ham Forest,MF,25,31,31,2541.0,5,7,11,1,4.7,4.5,64,153,118,0.18,0.25,0.17,0.16,N/a,N/a,N/a,N/a,34.0,0.64,0.09,17.0,897,78.0,13817,85.0,81.5,57.3,48,117,37,8,104,3.68,17,0.6,40,19,30,15,16,4,12,20,1484,34,175,752,581,86,75,40.0,45.3,829,2410,47,12,66,39,1109,34,37,7,39,118,39,48,44.8,€61.7M,77.1/80.0
206,Morgan Rogers,ENG,Aston Villa,"FW,MF",22,34,34,2853.0,8,8,9,0,6.2,7.4,108,117,177,0.25,0.25,0.2,0.23,N/a,N/a,N/a,N/a,35.8,0.6,0.15,15.9,628,73.9,9245,81.4,76.2,79.7,48,71,52,2,101,3.19,14,0.44,36,18,39,20,25,7,18,5,1269,36,185,557,553,135,153,42.5,44.4,744,3036,64,33,104,68,897,46,48,2,22,108,11,43,20.4,€69M,69.2/78.4
207,Murillo,BRA,Nott'ham Forest,DF,22,34,34,3008.0,2,0,5,0,1.4,1.1,20,103,5,0.06,0.0,0.04,0.03,N/a,N/a,N/a,N/a,25.0,0.18,0.08,22.2,1056,78.2,20985,90.0,87.8,48.9,12,124,13,1,40,1.2,2,0.06,53,36,46,19,67,44,23,32,1792,400,921,789,96,21,33,78.8,21.2,760,2286,24,1,18,10,912,25,4,0,12,134,43,21,67.2,€68.4M,73.9/85.8
208,Myles Lewis-Skelly,ENG,Arsenal,DF,18,20,13,1168.0,1,0,2,2,0.1,0.4,32,62,33,0.08,0.0,0.01,0.03,N/a,N/a,N/a,N/a,50.0,0.08,0.5,14.3,604,90.7,8962,95.8,90.3,65.0,7,55,8,1,24,1.85,0,0.0,22,14,10,0,2,1,1,6,775,20,138,426,225,14,26,46.2,34.6,443,1473,23,5,11,8,529,10,38,0,8,45,8,10,44.4,€34.9M,59.7/79.0
209,Nathan Collins,IRL,Brentford,DF,24,35,35,3150.0,2,3,5,0,2.5,1.8,28,117,18,0.06,0.09,0.07,0.05,N/a,N/a,N/a,N/a,35.3,0.17,0.12,10.7,1572,85.7,30030,87.8,92.5,59.3,10,102,7,2,30,0.86,8,0.23,37,22,34,12,71,51,20,32,2257,360,1179,924,164,66,12,50.0,41.7,1176,3769,12,0,19,8,1365,24,28,6,7,149,112,60,65.1,€33.3M,74.2/80.2
210,Neco Williams,WAL,Nott'ham Forest,DF,24,32,25,2324.0,1,3,7,0,2.3,1.5,60,82,86,0.04,0.12,0.09,0.06,N/a,N/a,N/a,N/a,18.9,0.27,0.03,20.2,751,76.1,11289,90.6,72.3,38.9,16,64,19,8,46,1.78,6,0.23,75,45,73,28,40,9,31,25,1393,143,504,506,401,38,44,40.9,40.9,569,1970,28,15,29,17,654,23,39,1,46,96,36,29,55.4,€23.4M,71.6/78.5
211,Nick Pope,ENG,Newcastle Utd,GK,33,25,25,2250.0,0,0,2,0,0.0,0.0,0,1,0,0.0,0.0,0.0,0.0,1.32,70.1,28.0,50.0,,0.0,,,504,72.8,12978,99.0,98.5,42.8,1,2,0,0,6,0.24,0,0.0,0,0,0,0,1,0,1,1,773,612,762,11,0,0,0,,,397,1519,0,0,0,1,273,2,5,0,0,21,11,1,91.7,€11.7M,70.1/71.3
212,Nicolas Jackson,SEN,Chelsea,FW,23,29,27,2185.0,10,5,7,0,12.3,4.3,46,37,127,0.41,0.21,0.51,0.18,N/a,N/a,N/a,N/a,44.7,1.4,0.13,12.9,300,75.9,4031,81.6,77.4,64.3,28,22,10,1,68,2.8,10,0.41,22,13,10,5,14,2,12,3,679,19,50,281,357,139,60,30.0,51.7,413,1304,25,30,69,41,507,33,29,23,3,48,19,36,34.5,€66.2M,81.5/91.3
213,Nicolás Domínguez,ARG,Nott'ham Forest,"MF,FW",26,31,20,1734.0,0,1,9,0,1.4,1.3,13,68,27,0.0,0.05,0.07,0.07,N/a,N/a,N/a,N/a,38.9,0.36,0.0,19.0,725,87.0,10492,91.5,90.1,58.3,13,73,9,1,32,1.66,0,0.0,76,40,66,36,34,11,23,27,1071,72,274,555,252,26,8,37.5,37.5,400,805,11,2,18,10,585,31,16,1,5,102,21,20,51.2,€18.8M,74.3/75.4
214,Nikola Milenković,SRB,Nott'ham Forest,DF,27,34,34,3060.0,4,2,4,0,3.6,1.0,3,49,6,0.12,0.06,0.1,0.03,N/a,N/a,N/a,N/a,26.9,0.21,0.15,12.1,748,81.2,15092,86.8,87.6,60.8,8,48,2,0,18,0.53,3,0.09,43,26,27,6,40,24,16,25,1268,242,700,490,82,59,1,100.0,0.0,486,963,3,2,2,2,638,18,4,1,0,75,96,37,72.2,€38M,78.2/80.3
215,Noni Madueke,ENG,Chelsea,FW,23,29,24,1813.0,7,3,3,0,9.1,4.0,142,66,212,0.35,0.15,0.45,0.2,N/a,N/a,N/a,N/a,39.0,1.49,0.09,14.4,474,77.6,6993,86.0,76.6,56.4,30,13,34,8,76,3.77,8,0.4,22,15,34,21,17,0,17,8,878,20,90,255,548,172,90,44.4,44.4,587,3159,46,87,43,24,676,20,24,5,58,72,10,16,38.5,€51.6M,76.1/86.4
216,Noussair Mazraoui,MAR,Manchester Utd,DF,27,34,31,2639.0,0,1,2,0,0.7,1.3,37,102,51,0.0,0.03,0.02,0.05,N/a,N/a,N/a,N/a,23.1,0.1,0.0,20.6,1409,85.5,21053,91.3,89.1,54.3,18,118,18,5,50,1.71,1,0.03,102,60,85,34,33,8,25,34,1976,158,779,903,318,27,47,55.3,36.2,1086,2680,29,3,23,16,1190,37,22,3,20,141,47,28,62.7,€43M,76.6/77.4
217,Nélson Semedo,POR,Wolves,DF,31,31,30,2661.0,0,4,7,0,0.8,2.7,61,70,109,0.0,0.14,0.03,0.09,N/a,N/a,N/a,N/a,37.5,0.2,0.0,23.4,973,80.1,14811,91.1,82.8,46.6,21,63,25,11,52,1.76,6,0.2,58,34,53,23,28,10,18,23,1551,116,446,707,416,24,64,45.3,42.2,790,2320,36,9,40,19,882,44,28,4,58,121,27,41,39.7,€8.4M,72.4/72.4
218,Ola Aina,NGA,Nott'ham Forest,DF,28,32,32,2733.0,2,1,3,0,0.6,1.1,59,97,56,0.07,0.03,0.02,0.04,N/a,N/a,N/a,N/a,20.0,0.07,0.2,25.9,893,73.3,13813,88.4,73.7,36.4,15,78,20,9,58,1.91,3,0.1,54,41,63,28,32,12,20,31,1550,148,568,647,364,21,68,45.6,36.8,675,2524,40,10,40,22,737,21,34,2,47,173,13,18,41.9,€18.8M,74.2/74.7
219,Oliver Skipp,ENG,Leicester City,MF,24,21,8,996.0,0,0,8,0,0.2,0.3,16,31,19,0.0,0.0,0.01,0.02,N/a,N/a,N/a,N/a,25.0,0.09,0.0,21.0,392,85.0,5965,88.5,93.3,59.4,9,30,4,0,14,1.27,0,0.0,20,4,15,6,17,4,13,10,557,24,121,350,90,7,11,54.5,45.5,321,629,7,3,11,5,390,19,13,0,5,40,10,6,62.5,€17M,70.0/76.8
220,Ollie Watkins,ENG,Aston Villa,FW,29,35,28,2333.0,15,7,2,0,14.7,3.0,52,29,148,0.58,0.27,0.57,0.12,N/a,N/a,N/a,N/a,42.3,1.27,0.17,12.2,284,74.2,3580,79.3,81.5,75.0,23,12,12,0,51,1.97,11,0.42,9,6,11,8,11,3,8,8,636,18,48,229,368,155,38,23.7,65.8,375,1052,21,36,53,46,502,27,30,13,7,39,47,62,43.1,€61.4M,80.4/80.9
221,Omar Marmoush,EGY,Manchester City,"FW,MF",26,13,12,998.0,6,0,0,0,4.8,1.7,21,29,68,0.54,0.0,0.43,0.15,N/a,N/a,N/a,N/a,42.1,1.44,0.16,18.0,203,78.1,2782,83.6,79.7,50.0,13,8,24,4,33,2.98,1,0.09,11,6,15,8,15,1,14,5,416,3,29,121,271,56,39,41.0,46.2,262,760,15,11,37,15,295,13,17,9,25,32,5,8,38.5,€79.1M,77.1/79.4
222,Orel Mangala,BEL,Everton,MF,27,19,14,1261.0,1,0,2,0,1.1,0.6,6,34,19,0.07,0.0,0.08,0.05,N/a,N/a,N/a,N/a,37.5,0.43,0.06,22.1,437,89.2,6998,90.5,94.9,76.7,8,50,8,1,24,1.72,1,0.07,16,8,8,3,8,3,5,21,621,22,133,335,157,13,24,58.3,37.5,298,576,6,3,12,12,406,24,17,2,6,49,6,8,42.9,€24.4M,71.2/71.5
223,Pape Matar Sarr,SEN,Tottenham,MF,22,33,19,1726.0,3,2,6,0,3.3,1.6,32,85,50,0.16,0.1,0.17,0.08,N/a,N/a,N/a,N/a,40.6,0.68,0.09,21.8,856,86.8,13113,90.7,90.0,73.3,15,85,11,2,42,2.19,6,0.31,44,32,23,12,23,9,14,26,1189,38,249,669,291,26,28,39.3,50.0,745,1843,35,5,27,21,838,31,34,2,14,108,28,40,41.2,€50.8M,70.5/80.6
224,Pau Torres,ESP,Aston Villa,DF,28,21,21,1819.0,0,0,1,0,0.5,0.1,33,77,4,0.0,0.0,0.03,0.0,N/a,N/a,N/a,N/a,25.0,0.1,0.0,11.7,1079,88.7,18849,94.9,93.4,53.1,2,96,7,0,12,0.59,2,0.1,20,14,15,6,14,10,4,9,1349,218,654,622,79,16,17,88.2,11.8,839,3596,20,0,4,4,963,8,7,0,1,54,16,26,38.1,€45.3M,75.6/77.2
225,Paul Onuachu,NGA,Southampton,FW,30,24,11,1029.0,4,1,4,0,3.6,0.5,7,13,40,0.35,0.09,0.32,0.04,N/a,N/a,N/a,N/a,44.1,1.31,0.12,10.4,156,60.7,2219,62.9,62.7,63.2,8,13,2,0,9,0.79,1,0.09,7,2,7,4,7,2,5,1,428,17,43,228,160,66,25,28.0,56.0,208,243,5,2,49,33,349,28,16,9,0,17,90,56,61.6,€12.7M,63.1/63.1
226,Pedro Neto,POR,Chelsea,FW,25,32,21,2013.0,4,5,8,0,2.9,6.1,118,57,229,0.18,0.22,0.13,0.27,N/a,N/a,N/a,N/a,29.6,0.72,0.07,18.8,632,78.6,10311,92.9,81.5,47.9,44,29,35,22,85,3.8,8,0.36,22,9,19,11,13,2,11,9,1034,12,92,302,657,108,92,32.6,43.5,672,3004,52,42,40,25,753,19,29,3,133,71,10,26,27.8,€60.6M,70.6/75.9
227,Pedro Porro,ESP,Tottenham,DF,25,31,26,2463.0,2,6,4,0,1.5,4.0,63,147,106,0.07,0.22,0.06,0.15,N/a,N/a,N/a,N/a,21.6,0.29,0.05,23.1,1324,73.5,23083,87.5,79.3,44.2,54,120,55,26,104,3.8,8,0.29,63,46,73,31,44,17,27,34,2131,124,623,772,749,30,39,33.3,61.5,1132,2677,40,5,23,17,1229,24,30,1,191,148,11,22,33.3,€55.9M,74.6/79.7
228,Pervis Estupiñán,ECU,Brighton,DF,27,28,24,2222.0,1,1,5,0,1.1,2.1,55,116,107,0.04,0.04,0.04,0.08,N/a,N/a,N/a,N/a,30.4,0.28,0.04,24.5,1245,83.3,18925,93.5,83.3,49.0,24,97,32,18,52,2.11,4,0.16,58,39,46,15,16,2,14,34,1766,72,439,878,467,31,30,53.3,43.3,944,2388,55,9,31,27,1070,33,17,3,114,136,43,26,62.3,€37.1M,74.0/76.2
229,Phil Foden,ENG,Manchester City,"MF,FW",24,26,19,1693.0,7,2,2,0,5.1,4.7,47,95,119,0.37,0.11,0.27,0.25,N/a,N/a,N/a,N/a,30.8,0.85,0.13,18.5,743,84.0,11571,90.6,89.2,59.6,42,40,35,5,84,4.47,9,0.48,12,5,17,10,12,1,11,9,1076,13,81,375,629,79,39,33.3,53.8,677,1676,30,15,35,30,842,5,32,3,73,59,3,8,27.3,€105.7M,86.5/93.6
230,Raúl Jiménez,MEX,Fulham,FW,34,35,27,2224.0,10,3,4,0,11.2,3.2,32,56,119,0.4,0.12,0.45,0.13,N/a,N/a,N/a,N/a,32.1,1.09,0.08,14.4,423,71.0,6367,81.2,73.1,61.2,20,36,10,3,57,2.31,6,0.24,33,23,20,13,19,5,14,10,919,30,107,396,431,154,47,40.4,53.2,509,1000,21,17,64,42,677,37,37,14,22,74,78,90,46.4,€5.1M,68.8/68.8
231,Riccardo Calafiori,ITA,Arsenal,DF,22,17,11,925.0,2,1,4,0,0.9,0.3,21,54,29,0.19,0.1,0.08,0.03,N/a,N/a,N/a,N/a,60.0,0.58,0.2,14.1,449,85.4,6549,91.6,85.7,67.9,6,40,9,1,13,1.26,2,0.19,26,18,29,11,12,6,6,9,628,30,161,249,222,29,13,69.2,23.1,291,839,12,3,11,5,377,16,6,3,11,30,22,13,62.9,€49.3M,73.1/80.7
232,Rico Lewis,ENG,Manchester City,"DF,MF",20,27,20,1818.0,1,2,5,1,1.4,0.3,36,104,68,0.05,0.1,0.07,0.02,N/a,N/a,N/a,N/a,20.0,0.1,0.1,15.8,1143,92.0,16487,94.8,94.2,68.3,7,92,14,0,31,1.54,3,0.15,29,19,21,8,28,7,21,13,1404,51,286,707,427,42,21,42.9,52.4,816,2034,38,8,19,19,1005,11,33,0,3,94,5,13,27.8,€62.7M,75.0/88.9
233,Robert Sánchez,ESP,Chelsea,GK,27,29,29,2610.0,0,0,5,0,0.0,0.1,0,1,0,0.0,0.0,0.0,0.0,1.10,76.3,27.6,20.0,,0.0,,,810,71.7,19431,99.5,96.4,38.5,2,25,1,0,7,0.24,2,0.07,0,0,1,1,0,0,0,2,1197,883,1186,11,0,0,0,,,805,2517,0,0,0,0,751,2,4,0,0,41,9,0,100.0,€24.9M,75.8/75.8
234,Rodrigo Bentancur,URU,Tottenham,MF,27,23,19,1518.0,2,0,7,0,1.3,0.4,26,99,34,0.12,0.0,0.08,0.03,N/a,N/a,N/a,N/a,22.7,0.3,0.09,17.4,916,88.1,14862,91.1,92.7,75.4,10,107,12,2,45,2.67,3,0.18,38,20,39,20,24,8,16,36,1252,70,299,747,215,24,18,44.4,44.4,739,1446,23,5,18,19,826,31,10,1,4,111,35,27,56.5,€31.5M,74.3/75.0
235,Rodrigo Muniz,BRA,Fulham,FW,24,31,8,964.0,8,1,1,0,5.8,0.7,6,27,31,0.75,0.09,0.54,0.07,N/a,N/a,N/a,N/a,48.7,1.77,0.21,12.0,92,64.8,1540,67.6,68.9,84.6,7,13,3,0,17,1.59,2,0.19,10,5,4,0,9,2,7,5,311,14,27,161,127,55,18,33.3,50.0,157,187,4,3,47,24,237,11,31,3,1,14,67,63,51.5,€8.2M,66.7/71.6
236,Ryan Christie,SCO,Bournemouth,MF,30,29,27,2117.0,2,3,9,0,1.8,3.5,34,137,44,0.09,0.13,0.08,0.15,N/a,N/a,N/a,N/a,36.4,0.51,0.06,19.6,837,79.3,14882,88.2,87.9,48.8,41,118,33,5,85,3.62,9,0.38,54,33,64,37,44,11,33,30,1376,74,256,773,372,46,48,47.9,45.8,726,1773,40,8,44,25,777,43,31,1,48,182,20,28,41.7,€16.2M,76.7/76.7
237,Ryan Gravenberch,NED,Liverpool,MF,22,34,34,2921.0,0,4,5,0,1.0,2.9,65,168,54,0.0,0.12,0.03,0.09,N/a,N/a,N/a,N/a,27.8,0.15,0.0,24.7,1595,88.9,23774,92.5,91.7,60.8,25,140,32,1,65,2.0,6,0.18,65,34,51,21,34,10,24,57,2176,104,446,1274,485,23,75,48.0,37.3,1286,3408,71,9,48,21,1548,42,46,0,6,182,26,14,65.0,€85.3M,86.8/98.3
238,Ryan Manning,IRL,Southampton,"DF,MF",28,23,18,1459.0,0,1,2,0,0.3,3.2,14,35,74,0.0,0.06,0.02,0.2,N/a,N/a,N/a,N/a,12.5,0.06,0.0,22.0,619,77.2,10360,92.2,80.9,44.4,34,33,12,8,50,3.08,3,0.18,28,17,26,12,20,11,9,17,965,70,258,396,321,22,36,30.6,44.4,482,977,13,4,17,5,572,19,32,0,84,65,15,5,75.0,€3.9M,62.2/62.4
239,Ryan Yates,ENG,Nott'ham Forest,MF,27,32,18,1874.0,2,1,10,0,2.3,1.1,17,48,14,0.1,0.05,0.11,0.05,N/a,N/a,N/a,N/a,28.1,0.43,0.06,19.3,592,81.7,8715,87.7,85.8,56.6,17,46,4,0,36,1.73,3,0.14,41,21,37,20,35,9,26,26,1001,77,266,488,257,40,18,50.0,27.8,408,888,18,1,23,18,526,52,49,6,5,95,44,30,59.5,€18.3M,72.2/74.0
240,Rúben Dias,POR,Manchester City,DF,27,24,22,2001.0,0,0,4,0,1.4,0.3,35,122,6,0.0,0.0,0.06,0.01,N/a,N/a,N/a,N/a,27.8,0.22,0.0,19.2,1943,93.6,33548,97.0,96.3,66.9,5,189,5,0,22,0.99,1,0.04,16,10,11,4,17,14,3,18,2230,195,749,1231,255,22,3,66.7,33.3,1592,5295,54,1,7,1,1815,12,8,0,3,68,30,31,49.2,€58.5M,86.4/86.4
241,Sam Morsy,EGY,Ipswich Town,MF,33,30,28,2486.0,1,1,10,0,0.3,0.8,16,104,9,0.04,0.04,0.01,0.03,N/a,N/a,N/a,N/a,22.2,0.07,0.11,26.3,1103,86.2,17664,93.2,91.3,57.4,18,132,13,2,40,1.45,2,0.07,62,36,57,31,32,13,19,28,1498,88,447,855,210,4,21,57.1,33.3,761,1783,20,2,15,10,999,45,24,0,12,138,17,23,42.5,€1.3M,65.0/65.6
242,Sammie Szmodics,IRL,Ipswich Town,"FW,MF",29,19,13,979.0,4,0,2,0,3.4,0.2,16,18,46,0.37,0.0,0.31,0.02,N/a,N/a,N/a,N/a,57.1,1.1,0.19,14.0,144,74.2,2402,87.0,84.4,51.7,4,10,4,1,9,0.83,0,0.0,15,9,23,17,10,2,8,6,309,17,80,119,116,33,12,33.3,50.0,174,399,8,7,24,17,189,9,8,8,13,41,6,11,35.3,€14.1M,61.3/61.3
243,Sander Berge,NOR,Fulham,MF,27,28,24,2091.0,0,0,5,0,0.2,0.6,27,116,8,0.0,0.0,0.01,0.03,N/a,N/a,N/a,N/a,0.0,0.0,0.0,7.6,1017,91.4,18059,91.7,94.6,83.5,17,105,4,0,41,1.76,2,0.09,48,28,37,12,26,8,18,20,1291,76,354,737,206,13,20,55.0,30.0,754,1856,22,2,12,15,836,29,8,0,3,118,27,20,57.4,€27.8M,72.4/72.7
244,Sandro Tonali,ITA,Newcastle Utd,MF,25,33,25,2360.0,3,2,5,0,3.7,1.4,33,116,48,0.11,0.08,0.14,0.05,N/a,N/a,N/a,N/a,31.3,0.38,0.09,19.6,1136,83.5,17948,89.8,87.0,61.8,20,91,26,4,61,2.32,8,0.3,47,30,44,22,32,10,22,33,1624,63,372,896,382,41,35,54.3,37.1,877,2014,34,5,27,23,1126,36,44,2,31,163,12,11,52.2,€52.9M,78.0/82.3
245,Santiago Bueno,URU,Wolves,DF,26,28,18,1683.0,0,0,2,0,0.4,0.0,1,28,1,0.0,0.0,0.02,0.0,N/a,N/a,N/a,N/a,50.0,0.16,0.0,14.0,741,88.0,13598,92.5,93.9,56.0,0,24,2,0,12,0.64,4,0.21,40,21,22,5,35,20,15,15,1023,169,520,485,21,6,4,0.0,100.0,555,1430,2,0,2,2,660,26,5,0,0,43,35,31,53.0,€11.2M,68.6/71.2
246,Saša Lukić,SRB,Fulham,MF,28,28,26,2169.0,0,2,12,0,1.2,2.6,37,92,29,0.0,0.08,0.05,0.11,N/a,N/a,N/a,N/a,11.8,0.08,0.0,20.1,1027,87.7,17364,91.9,92.0,70.3,23,97,15,6,50,2.08,3,0.12,66,37,53,32,19,7,12,26,1394,50,303,797,307,18,17,47.1,29.4,775,2083,39,4,22,8,897,62,26,0,55,107,18,24,42.9,€12.1M,72.1/72.1
247,Sepp van den Berg,NED,Brentford,DF,23,28,26,2316.0,0,0,2,0,1.7,0.5,10,72,27,0.0,0.0,0.07,0.02,N/a,N/a,N/a,N/a,31.3,0.19,0.0,10.6,958,84.7,16548,87.7,89.1,62.5,5,57,3,1,21,0.82,2,0.08,37,22,27,9,50,36,14,20,1430,252,728,547,159,42,7,57.1,42.9,636,1663,9,1,14,7,806,20,5,1,7,87,84,66,56.0,€26.4M,71.5/79.4
248,Simon Adingra,CIV,Brighton,"FW,MF",23,26,10,956.0,2,1,0,0,2.2,1.8,37,14,119,0.19,0.09,0.21,0.17,N/a,N/a,N/a,N/a,28.0,0.66,0.08,16.2,255,76.1,3699,87.0,74.0,55.6,13,5,12,5,39,3.68,7,0.66,23,14,22,12,12,0,12,8,488,8,63,158,272,64,48,43.8,56.3,324,1042,17,20,35,11,341,11,3,2,35,41,6,3,66.7,€34M,67.6/75.0
249,Stefan Ortega,GER,Manchester City,GK,32,13,12,1100.0,0,0,1,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,1.47,68.0,25.0,0.0,,0.0,,,373,81.3,8327,97.1,96.9,51.3,0,6,0,0,0,0.0,0,0.0,0,0,1,1,0,0,0,0,492,383,489,3,0,0,0,,,323,864,0,0,0,0,309,1,2,0,0,8,2,0,100.0,€5.8M,61.7/61.7
250,Stephy Mavididi,ENG,Leicester City,FW,26,30,16,1615.0,4,1,2,0,1.8,2.6,91,57,138,0.22,0.06,0.1,0.15,N/a,N/a,N/a,N/a,26.9,0.39,0.15,16.1,460,75.0,6191,91.1,67.4,41.9,22,32,26,7,50,2.78,7,0.39,34,19,42,28,26,2,24,11,863,23,132,327,421,61,95,36.8,49.5,583,2355,40,27,39,35,623,18,18,3,69,83,9,15,37.5,€12.9M,66.8/70.1
251,Sávio,BRA,Manchester City,"FW,MF",21,27,21,1734.0,1,8,3,0,4.9,6.8,133,66,239,0.05,0.42,0.25,0.35,N/a,N/a,N/a,N/a,38.9,1.09,0.02,17.7,676,80.9,10078,89.8,80.1,57.4,44,19,47,8,107,5.55,15,0.78,22,16,18,9,13,2,11,6,1071,14,55,281,754,149,111,45.9,35.1,766,3494,44,73,42,37,834,17,27,3,81,79,1,2,33.3,€74.8M,77.8/91.6
252,Taylor Harwood-Bellis,ENG,Southampton,DF,23,32,30,2654.0,1,0,9,0,1.8,1.0,29,119,9,0.03,0.0,0.06,0.03,N/a,N/a,N/a,N/a,40.0,0.27,0.05,10.6,1807,87.9,33577,92.9,91.8,64.4,14,171,10,1,37,1.25,2,0.07,27,19,34,15,60,38,22,30,2349,313,1089,1092,178,40,3,100.0,0.0,1361,3731,27,0,15,5,1704,34,14,0,10,120,56,42,57.1,€29.9M,66.9/79.9
